Clan name (CR);ClanPoints (CR);Type (CR);Location (CR);Members (CR);Tag (CR);ClanPoints CoC;Nombre CoC;Tipo CoC;Location CoC;Nivel de clan CoC;Miembros CoC;Tag CoC
kutingin;53851;closed;International;47;#YVP8PLPQ;40470;PINOY 2.0;inviteOnly;Lesotho;29;50;#PQ9V029V
LastMohonky;51263;open;North America;30;#LGVQ99VR;34770;Whiskey Barrels;inviteOnly;International;13;48;#2LQCYPCPL
PH FREAKSHOW™;51236;open;Philippines;41;#QGU09QC9;34746;سوته دلان;inviteOnly;Iran;21;30;#8V9JVYGJ
喧嘩稼業;51003;closed;Japan;29;#QRYLVU2P;34421;the dragon clan;inviteOnly;International;21;47;#RLV2QRUV
☆FOU FIGHTERS☆;50689;closed;France;26;#UJPPV9Q;33579;Ordo Ab Chao;closed;;11;20;#2LLG2G0V2
Hearthstone BR;49898;closed;Brazil;33;#Y0P2J28C;33563;sttar;inviteOnly;Iran;23;37;#29QQLV9Q
torneo pompeya;47994;inviteOnly;International;23;#LV02LRR8;33435;MANABA RIVERS;closed;Philippines;18;41;#JQJUJPRV
❤Girls On Fire❤;47583;closed;North America;22;#LUJRLPQJ;31782;العربي الدلفي;inviteOnly;Iraq;15;50;#9VJLUQ8U
مشهد کینگ;45447;inviteOnly;Iran;26;#8RP8YU;31715;HKG Premier;inviteOnly;Hong Kong;20;24;#9PC0GRY2
khodroservis;44749;inviteOnly;Iran;22;#LUPQ9QUJ;31357;أنين الثلجX;inviteOnly;International;22;39;#8CRULY2
